Vintage;Country;County;Designation;Points;Price;Province;Title;Variety;Winery
01/01/2009;Italy;Rosso di Montalcino;Ignaccio;88;$33.00;Tuscany;Il Marroneto 2009 Ignaccio (Rosso di Montalcino);Sangiovese Grosso;Il Marroneto
01/01/2009;Italy;Valpolicella Classico;Villa Novare;84;$16.00;Veneto;Bertani 2009 Villa Novare (Valpolicella Classico);Corvina, Rondinella, Molinara;Bertani
01/01/2009;France;Cìtes du Roussillon Villages;Mas Janeil;86;$24.00;Languedoc-Roussillon;Franáois Lurton 2009 Mas Janeil Red (Cìtes du Roussillon Villages);Rhìne-style Red Blend;Franáois Lurton
01/01/2009;France;Cìtes de Provence;Whispering Angel;87;$20.00;Provence;ChÉteau d'Esclans 2009 Whispering Angel RosÇ (Cìtes de Provence);RosÇ;ChÉteau d'Esclans
01/01/2009;France;Meursault;CuvÇe Signature Le Porusot Premier Cru;88;$75.00;Burgundy;Bouchard AånÇ & Fils 2009 CuvÇe Signature Le Porusot Premier Cru (Meursault);Chardonnay;Bouchard AånÇ & Fils
01/01/2009;France;Cahors;ChÉteau Pech de Jammes;91;$25.00;Southwest France;Georges Vigouroux 2009 ChÉteau Pech de Jammes Malbec (Cahors);Malbec;Georges Vigouroux
01/01/2009;France;Champagne;Brut Tradition MillÇsime;89;$45.00;Champagne;Vollereaux 2009 Brut Tradition MillÇsime (Champagne);Champagne Blend;Vollereaux
01/01/2009;Italy;Maremma Toscana;Drïmos;89;$49.00;Tuscany;Poggio Verrano 2009 Drïmos (Maremma Toscana);Red Blend;Poggio Verrano
01/01/2009;France;Hautes Cìtes de Nuits;Vieilles Vignes;86;$24.00;Burgundy;Manuel Olivier 2009 Vieilles Vignes (Hautes Cìtes de Nuits);Pinot Noir;Manuel Olivier
01/01/2009;Italy;Amarone della Valpolicella Classico;Morar;90;$69.00;Veneto;Valentina Cubi 2009 Morar (Amarone della Valpolicella Classico);Red Blend;Valentina Cubi
01/01/2009;Italy;Sannio;Serrocielo;90;$33.00;Southern Italy;Feudi di San Gregorio 2009 Serrocielo Falanghina (Sannio);Falanghina;Feudi di San Gregorio
01/01/2009;Italy;Alto Adige;Brenntal Riserva;90;$23.00;Northeastern Italy;Cantina Cortaccia 2009 Brenntal Riserva GewÅrztraminer (Alto Adige);GewÅrztraminer;Cantina Cortaccia
01/01/2009;Italy;Chianti Classico;Il Poggio Riserva;91;$60.00;Tuscany;Castello di Monsanto 2009 Il Poggio Riserva (Chianti Classico);Red Blend;Castello di Monsanto
01/01/2009;France;Chablis;La Sereine;88;$20.00;Burgundy;La Chablisienne 2009 La Sereine (Chablis);Chardonnay;La Chablisienne
